,user_id,event,time,offer_id,received_time,received_id
17,65aba5c617294649aeb624da249e1ee5,offer received,0,2906b810c7d4411798c6938adc9daaa5,0,17
18,ebe7ef46ea6f4963a7dd49f501b26779,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,18
25,25c906289d154b66bf579693f89481c9,offer received,0,2906b810c7d4411798c6938adc9daaa5,0,25
30,57dd18ec5ddc46828afb81ec5977bef2,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,30
46,39dbcf43e24d41f4bbf0f134157e0e1e,offer received,0,ae264e3637204a6fb9bb56bc8210ddfd,0,46
68,3f4e408b0b2d4ea89dd16d7437d867c1,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,68
71,488773cae11f4b71875bfccd4e3e99f2,offer received,0,2906b810c7d4411798c6938adc9daaa5,0,71
81,52f0bd64403f4958ab8fe9a6947c13c3,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,81
85,d41fa9b8c2e24a1d94caa890c53bbcf6,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,85
110,1827da57bb924833a6f73c79b5f2bbc5,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,110
113,5f18c5754dc04baaa1267c823f877a85,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,113
124,21b02228cd4441b49bf0b5ff046f4b75,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,124
129,5cac1f0d55c3466fb29e8de342a5e9c9,offer received,0,2906b810c7d4411798c6938adc9daaa5,0,129
130,041fd7c6b796430a867c4e03d2ff8f4d,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,130
135,a9ecb39d93d74696a9d6ddd5355329ff,offer received,0,2906b810c7d4411798c6938adc9daaa5,0,135
138,3cea9c09fefb4c33ae2f0aa604af7eb4,offer received,0,2906b810c7d4411798c6938adc9daaa5,0,138
150,e94a9c2e750645d0a1aca57a9b4ca4c3,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,150
153,5b9c1a35c0144b6ab584e666dec7c531,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,153
176,ace4a7611da040748d1722cda25b6280,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,176
183,bbeb54e861614fc7b22a8844f72dca6c,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,183
193,3ccc9efe36dc4f13a8a5fc3f3f655f2a,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,193
194,932715eb8a33450c83c1557c99968c7b,offer received,0,2906b810c7d4411798c6938adc9daaa5,0,194
200,b6905df3630b4137b077b6e1b4b21d75,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,200
206,393e6938e7eb46cb86bcb04f231efc0f,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,206
233,bb9cf26ad43044a3b0dd90c22bbd05d1,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,233
242,ca900921cfdd4b11a432df6f46a3e26d,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,242
271,4df1ca80efca48759fa62d668378451d,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,271
286,4cce01bbc3d742c994f654f8c1ecd6b4,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,286
290,e262142cfb3f4c87ab26ba7dd09562aa,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,290
318,b8dc729c581045a59f2186c210c5a06c,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,318
320,7ab8b28bc5044b56b13aa5ed2f12bc40,offer received,0,2906b810c7d4411798c6938adc9daaa5,0,320
324,eaaa456d803e49798017100b16fda6c5,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,324
331,5979ee1e3e744c98afd9f72d9be32546,offer received,0,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,331
339,71b61cc2a3004060b66070ff75168a17,offer received,0,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,339
